bus_i,kV,cities,county,carb_inten_no_renew,pd,Type,Import,Lat,Lon,carb_emit
64,66,Arbuckle,Colusa County,1.23104,1.76293,'Substation',' ',38.96982277,-122.0433322,2.1702373472
65,66,Arbuckle,Colusa County,1.23104,1.90824,'Substation',' ',38.96922396,-122.0704684,2.3491197695999997
66,66,Maxwell,Colusa County,1.23104,0.0,'Substation',' ',39.27695996,-122.1532889,0.0
67,66,Princeton,Colusa County,1.23104,0.84467,'Substation',' ',39.40274718,-122.0132647,1.0398225568
68,66,Williams,Colusa County,1.23104,0.0,'Substation',' ',39.15748765,-122.1477121,0.0
69,115,Martinez,Contra Costa County,1.23104,5.00012,'Substation',' ',37.99392322,-122.1301156,6.1553477247999995
70,66,Byron,Contra Costa County,0.15692,0.64311,'Substation',' ',37.81698936,-121.5871457,0.10091682119999999
71,66,Oakley,Contra Costa County,0.0,0.0,'Substation',' ',38.01132999,-121.748771,0.0
72,66,Discovery Bay,Contra Costa County,0.15692,0.64699,'Substation',' ',37.88699377,-121.5769277,0.1015256708
73,66,Antioch,Contra Costa County,0.25698,0.0,'Substation',' ',38.01049965,-121.7562696,0.0
74,115,Pittsburg,Contra Costa County,1.14348,15.35871,'Substation',' ',38.02639867,-121.8496279,17.5623777108
75,115,Martinez,Contra Costa County,1.23104,1.95429,'Substation',' ',38.01420008,-122.1158065,2.4058091616
76,66,Rodeo,Contra Costa County,0.0,0.0,'Substation',' ',38.01900393,-122.2354177,0.0
77,66,Walnut Creek,Contra Costa County,0.4718,6.66882,'Substation',' ',37.92595616,-122.0713843,3.146349276
78,66,Byron,Contra Costa County,0.15692,1.03984,'Substation',' ',37.83870261,-121.6229064,0.16317169280000002
79,66,Brentwood,Contra Costa County,0.16262,0.0,'Substation',' ',37.92583801,-121.678276,0.0
80,115,Concord,Contra Costa County,1.22486,1.61553,'Substation',' ',38.0125913,-122.0426788,1.9787980758
81,66,Clayton,Contra Costa County,0.16354,1.04402,'Substation',' ',37.88525172,-121.8144465,0.17073903079999997
82,115,Concord,Contra Costa County,0.4718,14.81027,'Substation',' ',37.94410025,-121.9691071,6.9874853859999995
83,115,Pittsburg,Contra Costa County,0.97509,2.17561,'Substation',' ',38.02598429,-121.8633112,2.1214155549
84,66,Antioch,Contra Costa County,0.20653,2.93021,'Substation',' ',38.01351802,-121.815552,0.6051762713000001
85,115,Pittsburg,Contra Costa County,1.23104,0.88054,'Substation',' ',38.02728725,-121.8543797,1.0839799615999999
86,115,Orinda,Contra Costa County,0.65338,1.04911,'Substation',' ',37.8759552,-122.1870459,0.6854674918
87,115,Antioch,Contra Costa County,0.25698,1.13747,'Substation',' ',38.01599634,-121.7739186,0.29230704059999996
88,66,Hercules,Contra Costa County,1.24945,5.60413,'Substation',' ',38.012107,-122.26433,7.0020802285
89,66,Byron,Contra Costa County,0.15692,0.0,'Substation',' ',37.81672046,-121.5861654,0.0
90,115,Martinez,Contra Costa County,1.23104,1.11557,'Substation',' ',38.00163657,-122.0672557,1.3733112927999997
91,66,Brentwood,Contra Costa County,0.16354,1.19933,'Substation',' ',37.90286541,-121.7226958,0.1961384282
92,115,Concord,Contra Costa County,0.4718,15.899,'Substation',' ',37.96324326,-122.0522531,7.501148199999999
93,115,San Pablo,Contra Costa County,1.23104,11.5536,'Substation',' ',37.99592158,-122.3481031,14.222943743999998
94,66,Port Costa,Contra Costa County,1.24945,2.69015,'Substation',' ',38.03732601,-122.178096,3.3612079175
95,230,San Ramon,Contra Costa County,0.40601,9.06979,'Substation',' ',37.78241596,-121.9676624,3.6824254378999997
96,66,Martinez,Contra Costa County,1.24945,1.74866,'Substation',' ',38.028955,-122.103101,2.184863237
97,66,Pittsburg,Contra Costa County,1.23104,0.0,'Substation',' ',38.02477032,-121.9609733,0.0
98,66,Scott Bar,Siskiyou County,1.23104,0.0,'Substation',' ',41.77442883,-123.0350791,0.0
99,115,Diamond Springs,El Dorado County,0.85378,3.35335,'Substation',' ',38.69341229,-120.8258948,2.863023163
100,115,Auburn,Placer County,0.3014,2.21212,'Substation',' ',38.88492041,-121.0671416,0.666732968
101,66,Cameron Park,El Dorado County,0.1718,3.93271,'Substation',' ',38.6349329,-120.9801828,0.6756395780000001
102,66,Cool,El Dorado County,0.75656,2.10089,'Substation',' ',38.91406597,-121.0189822,1.5894493384000001
103,115,Newcastle,Placer County,0.3014,0.0,'Substation',' ',38.83485899,-121.094821,0.0
104,66,Shingle Springs,El Dorado County,0.1718,1.89153,'Substation',' ',38.65929769,-120.9472381,0.324964854
105,66,Pollock Pines,El Dorado County,0.0,0.0,'Substation',' ',38.85028861,-120.3819544,0.0
106,115,Pollock Pines,El Dorado County,1.23104,1.42261,'Substation',' ',38.79337762,-120.619311,1.7512898143999998
107,115,Kingsburg,Fresno County,1.22887,8.97763,'Substation',' ',36.54076139,-119.5818423,11.032340178099998
108,115,Fresno,Fresno County,0.03173,8.73882,'Substation',' ',36.75773233,-119.6968545,0.2772827586
109,66,Lemoore,Kings County,0.03173,0.44508,'Substation',' ',36.31946224,-119.9470597,0.0141223884
110,66,Coalinga,Fresno County,1.23104,2.82702,'Substation',' ',36.23774299,-120.3687036,3.4801747007999997
111,500,Mendota,Fresno County,0.0,0.0,'Substation',' ',36.71509335,-120.7018288,0.0
112,66,Coalinga,Fresno County,1.23104,0.0,'Substation',' ',36.22456945,-120.3814639,0.0
113,115,Fresno,Fresno County,0.0,0.0,'Substation',' ',36.70056751,-119.754489,0.0
114,66,Fresno,Fresno County,0.19867,3.03148,'Substation',' ',36.90286001,-119.773843,0.6022641316
115,66,Coalinga,Fresno County,1.23104,1.85167,'Substation',' ',36.19229514,-120.3552717,2.2794798367999998
116,66,Tranquillity,Fresno County,0.80678,0.0,'Substation',' ',36.63241754,-120.3423122,0.0
117,115,Mendota,Fresno County,0.8407,3.41898,'Substation',' ',36.52807464,-120.4852632,2.874336486
118,66,Kerman,Fresno County,0.20204,1.41006,'Substation',' ',36.79273987,-120.1141466,0.2848885224
119,66,,Fresno County,0.8407,4.0963,'Substation',' ',36.28400837,-120.122075,3.44375941
120,66,Riverdale,Fresno County,1.22379,1.09527,'Substation',' ',36.44598609,-119.7989666,1.3403804733
121,115,Coalinga,Fresno County,0.0,0.0,'Substation',' ',36.42931356,-120.3416558,0.0
122,66,Firebaugh,Fresno County,0.80678,0.65177,'Substation',' ',36.83609272,-120.4495568,0.5258350006
123,66,,Fresno County,0.05304,1.38906,'Substation',' ',36.53216946,-119.8814695,0.0736757424
124,115,,Fresno County,0.81041,3.07448,'Substation',' ',36.63275972,-120.5319935,2.4915893367999997
125,66,Clovis,Fresno County,1.23104,0.0,'Substation',' ',36.89581265,-119.6647064,0.0
126,66,Coalinga,Fresno County,1.23104,1.89102,'Substation',' ',36.22650304,-120.3378885,2.3279212607999997
127,66,Reedley,Tulare County,1.23104,0.0,'Substation',' ',36.57016948,-119.4190334,0.0
128,66,Miramonte,Fresno County,1.23104,1.44968,'Substation',' ',36.70935277,-119.0289556,1.7846140672
129,66,Firebaugh,Fresno County,0.80678,0.0,'Substation',' ',36.8505811,-120.4663723,0.0
130,66,San Joaquin,Fresno County,0.8407,0.0,'Substation',' ',36.59142343,-120.1761988,0.0
131,66,,Fresno County,0.0,0.0,'Substation',' ',36.18606391,-120.1039111,0.0
132,66,,Fresno County,0.05304,0.0,'Substation',' ',36.69153501,-120.060083,0.0
133,66,Fresno,Fresno County,0.05304,0.77836,'Substation',' ',36.70562289,-119.882865,0.0412842144
134,66,,Fresno County,1.08044,0.0,'Substation',' ',36.706794,-119.880023,0.0
135,115,Fresno,Fresno County,0.70436,0.0,'Substation',' ',36.69325502,-119.726534,0.0
136,230,Fresno,Fresno County,1.22574,2.77691,'Substation',' ',36.59336916,-119.9887084,3.4037696634000003
137,66,Mendota,Fresno County,0.0,0.0,'Substation',' ',36.72059631,-120.4589551,0.0
138,66,Mendota,Fresno County,0.80678,0.0,'Substation',' ',36.75624051,-120.3653702,0.0
139,66,Fresno,Fresno County,1.08044,2.92035,'Substation',' ',36.60561902,-119.773307,3.1552629540000003
140,66,Parlier,Fresno County,1.23104,5.15871,'Substation',' ',36.60755351,-119.5213101,6.3505783584
141,115,Sanger,Fresno County,0.70436,0.0,'Substation',' ',36.78995077,-119.4034036,0.0
142,115,Sanger,Fresno County,0.70436,4.56637,'Substation',' ',36.71022222,-119.5381139,3.2163683732
143,66,Reedley,Fresno County,1.23104,0.0,'Substation',' ',36.6043472,-119.3762084,0.0
144,66,San Joaquin,Fresno County,0.05304,0.0,'Substation',' ',36.62093615,-120.1783513,0.0
145,66,Helm,Fresno County,0.0,0.0,'Substation',' ',36.53108764,-120.1045065,0.0
146,66,Sanger,Fresno County,1.23104,1.43935,'Substation',' ',36.77054901,-119.393313,1.7718974239999998
147,115,Fresno,Fresno County,0.70436,22.83692,'Substation',' ',36.68753802,-119.721984,16.0854129712
148,66,Tranquillity,Fresno County,0.80678,3.34814,'Substation',' ',36.66108307,-120.3343954,2.7012123892
149,66,Coalinga,Fresno County,0.0,0.0,'Substation',' ',36.35685741,-120.2512062,0.0
150,115,Firebaugh,Fresno County,0.18062,2.43095,'Substation',' ',36.83604392,-120.6203074,0.43907818900000006
151,66,Glenn,Glenn County,1.23104,1.27742,'Substation',' ',39.58278564,-122.0104719,1.5725551167999998
152,66,Orland,Glenn County,1.23104,0.0,'Substation',' ',39.77596358,-122.1038109,0.0
153,66,Orland,Glenn County,1.23104,0.0,'Substation',' ',39.78927916,-122.0513104,0.0
154,230,Willows,Glenn County,1.23104,1.52017,'Substation',' ',39.53951119,-122.2630509,1.8713900767999998
155,66,Orland,Glenn County,1.23104,0.0,'Substation',' ',39.725196,-122.178741,0.0
156,66,Glenn,Glenn County,1.23104,1.29952,'Substation',' ',39.55776855,-122.0047037,1.5997611008
157,66,Willows,Glenn County,1.23104,0.0,'Substation',' ',39.531676,-122.1861239,0.0
158,66,Elk Creek,Glenn County,0.0,0.0,'Substation',' ',39.58704303,-122.533157,0.0
159,66,Arcata,Humboldt County,1.23104,0.0,'Substation',' ',40.87793436,-123.9946333,0.0
160,66,Arcata,Humboldt County,1.23104,3.33374,'Substation',' ',40.86708117,-124.0884243,4.1039672896
161,66,Trinidad,Humboldt County,1.23104,1.05571,'Substation',' ',41.16271474,-124.1020064,1.2996212383999999
162,66,McKinleyville,Humboldt County,1.23104,0.0,'Substation',' ',40.90584397,-124.0343692,0.0
163,66,Blue Lake,Humboldt County,1.23104,0.0,'Substation',' ',40.8798343,-123.9805907,0.0
164,115,Bridgeville,Humboldt County,0.0,0.0,'Substation',' ',40.47964597,-123.7803098,0.0
165,66,Samoa,Humboldt County,1.23104,0.0,'Substation',' ',40.80046704,-124.1962938,0.0
166,66,Alderpoint,Humboldt County,0.0,0.0,'Substation',' ',40.21377701,-123.5963844,0.0
167,66,Myers Flat,Humboldt County,0.15792,1.0231,'Substation',' ',40.28584174,-123.8373077,0.161567952
168,66,Garberville,Humboldt County,0.15792,0.0,'Substation',' ',40.10300786,-123.7928774,0.0
169,66,Eureka,Humboldt County,1.23104,2.61494,'Substation',' ',40.78091459,-124.1318534,3.2190957375999996
170,66,Eureka,Humboldt County,1.23104,0.0,'Substation',' ',40.74032526,-124.2096559,0.0
171,66,Arcata,Humboldt County,1.23104,1.35987,'Substation',' ',40.90513782,-124.072347,1.6740543647999997
172,66,Arcata,Humboldt County,1.23104,2.95899,'Substation',' ',40.86575137,-124.1523425,3.6426350496
173,66,Fortuna,Humboldt County,1.23104,0.0,'Substation',' ',40.59459298,-124.1352072,0.0
174,230,Byron,Contra Costa County,0.1718,1.47713,'Substation',' ',37.80116,-121.641651,0.253770934
175,66,Scotia,Humboldt County,1.23104,0.0,'Substation',' ',40.48092347,-124.1040001,0.0
176,66,Korbel,Humboldt County,1.23104,0.0,'Substation',' ',40.72891925,-123.6697785,0.0
177,66,Rio Dell,Humboldt County,1.23104,1.53456,'Substation',' ',40.49538982,-124.0992681,1.8891047423999998
178,66,Korbel,Humboldt County,1.23104,0.0,'Substation',' ',40.82049761,-123.8282375,0.0
179,66,Ripon,San Joaquin County,1.01718,2.36773,'Substation',' ',37.73329501,-121.120652,2.4084076014
180,66,Trinidad,Humboldt County,1.23104,2.27376,'Substation',' ',41.06473688,-124.1284232,2.7990895103999995
181,115,Brawley,Imperial County,0.15792,2.01071,'Substation',' ',32.99897909,-115.5188889,0.3175313232
182,115,Thermal,Imperial County,0.15792,0.0,'Substation',' ',33.12533089,-115.9785357,0.0
183,66,Winterhaven,Imperial County,0.15792,0.5379,'Substation',' ',32.78149971,-114.5745907,0.08494516800000002
184,115,Winterhaven,Imperial County,0.52889,1.80956,'Substation',' ',32.90250651,-114.4800809,0.9570581884
185,115,Niland,Imperial County,0.15792,0.0,'Substation',' ',33.38496117,-115.6887666,0.0
186,66,Calexico,Imperial County,0.15792,3.95863,'Substation',' ',32.66910959,-115.5002718,0.6251468496
187,115,Imperial,Imperial County,0.20176,3.07194,'Substation',' ',32.81791422,-115.5779823,0.6197946144
188,115,Thermal,Imperial County,0.15792,2.59725,'Substation',' ',33.41180556,-116.0507499,0.41015772
189,115,El Centro,Imperial County,0.15792,0.0,'Substation',' ',32.79963333,-115.5791028,0.0
190,115,Winterhaven,Imperial County,1.23104,1.12001,'Substation',' ',33.05360069,-114.9841401,1.3787771104
191,115,Winterhaven,Imperial County,1.23104,0.0,'Substation',' ',33.04703333,-114.8841944,0.0
192,66,Brawley,Imperial County,0.0,0.0,'Substation',' ',32.91199807,-115.5681245,0.0
193,66,Winterhaven,Imperial County,0.15792,0.42484,'Substation',' ',32.75293878,-114.590084,0.0670907328
194,115,Winterhaven,Imperial County,0.0,0.0,'Substation',' ',32.70621445,-115.0311648,0.0
195,66,Winterhaven,Imperial County,0.0,0.0,'Substation',' ',32.71114659,-114.9425616,0.0
196,115,Winterhaven,Imperial County,0.15792,0.0,'Substation',' ',32.73657328,-114.7126452,0.0
197,115,El Centro,Imperial County,0.15813,1.43372,'Substation',' ',32.81140555,-115.680425,0.2267141436
198,115,Niland,Imperial County,0.16625,0.0,'Substation',' ',33.24227704,-115.501121,0.0
199,66,Brawley,Imperial County,0.15792,1.63319,'Substation',' ',32.98697223,-115.5429722,0.2579133648
200,66,Thermal,Imperial County,0.0,0.0,'Substation',' ',32.79184606,-115.857801,0.0
201,66,Calexico,Imperial County,0.15792,0.0,'Substation',' ',32.68598055,-115.5085444,0.0
202,115,Thermal,Imperial County,0.15792,0.0,'Substation',' ',33.28528889,-115.9698333,0.0
203,115,Seeley,Imperial County,0.15813,0.0,'Substation',' ',32.79148946,-115.6946665,0.0
204,66,El Centro,Imperial County,0.0,0.0,'Substation',' ',32.75270556,-115.6376722,0.0
205,115,Imperial,Imperial County,0.15813,0.0,'Substation',' ',32.88062222,-115.7434361,0.0
206,66,Holtville,Imperial County,0.0,0.0,'Substation',' ',32.69940301,-115.2832006,0.0
207,66,Westmorland,Imperial County,0.15792,0.57791,'Substation',' ',33.03810038,-115.6189923,0.0912635472
208,66,Big Pine,Inyo County,0.15792,0.73328,'Substation',' ',37.37438227,-117.9796042,0.11579957760000001
209,115,Lone Pine,Inyo County,0.0,0.0,'Substation',' ',36.10989167,-117.9564555,0.0
210,115,Lone Pine,Inyo County,0.15792,2.00887,'Substation',' ',36.60071079,-118.0725009,0.3172407504
211,66,Bishop,Inyo County,0.15792,2.69059,'Substation',' ',37.35976047,-118.7018945,0.42489797279999997
212,66,Bishop,Inyo County,0.15792,2.58589,'Substation',' ',37.34980639,-118.4653526,0.40836374880000004
213,66,Bishop,Inyo County,0.0,0.0,'Substation',' ',37.40070021,-118.3505364,0.0
214,66,Lost Hills,Kern County,1.23104,0.0,'Substation',' ',35.7116008,-120.0111956,0.0
215,66,Lost Hills,Kern County,1.23104,4.70829,'Substation',' ',35.65850145,-120.0424297,5.796093321599999
216,66,Lebec,Kern County,0.4885,0.69837,'Substation',' ',34.88051458,-118.9009699,0.341153745
217,66,Bakersfield,Kern County,1.23104,2.26288,'Substation',' ',35.4707658,-119.1183189,2.7856957951999997
218,115,Bakersfield,Kern County,1.23104,5.38686,'Substation',' ',35.57075757,-119.1154201,6.6314401344
219,115,Oildale,Kern County,0.0,0.0,'Substation',' ',35.40105743,-119.035393,0.0
220,230,Rosamond,Kern County,1.23104,0.0,'Substation',' ',34.95491418,-118.8442502,0.0
221,66,Lost Hills,Kern County,1.23104,5.61321,'Substation',' ',35.78573189,-119.8662835,6.910086038399999
222,66,Bakersfield,Kern County,1.17314,3.54244,'Substation',' ',35.06401416,-119.0618268,4.1557780616
223,66,Lebec,Kern County,0.4885,1.04491,'Substation',' ',34.92639747,-118.9252995,0.510438535
224,66,Lost Hills,Kern County,1.23104,1.87242,'Substation',' ',35.6579012,-119.9964345,2.3050239167999997
225,66,Lost Hills,Kern County,1.23104,0.0,'Substation',' ',35.7755224,-119.9136038,0.0
226,66,Arvin,Kern County,0.0,0.0,'Substation',' ',35.15031453,-118.8784674,0.0
227,115,Bakersfield,Kern County,1.23104,2.9074,'Substation',' ',35.31698056,-118.9332139,3.5791256959999997
228,66,Bakersfield,Kern County,1.00593,8.32764,'Substation',' ',35.38723247,-119.004436,8.3770229052
229,66,Lost Hills,Kern County,0.0,0.0,'Substation',' ',35.61462223,-119.8537112,0.0
230,66,Taft,Kern County,1.23104,0.0,'Substation',' ',35.10678049,-119.4035453,0.0
231,66,Lost Hills,Kern County,1.23104,0.0,'Substation',' ',35.54109995,-119.8052306,0.0
232,66,Mc Kittrick,Kern County,1.23104,2.73037,'Substation',' ',35.4747136,-119.7603817,3.3611946848
233,66,Maricopa,Kern County,1.23104,0.0,'Substation',' ',35.09714151,-119.429419,0.0
234,115,Wasco,Kern County,1.23104,0.74091,'Substation',' ',35.60807501,-119.3253139,0.9120898463999999
235,66,Bakersfield,Kern County,0.0,0.0,'Substation',' ',35.09339007,-119.2789365,0.0
236,115,Mc Kittrick,Kern County,1.23104,0.0,'Substation',' ',35.31512502,-119.6095695,0.0
237,66,Lost Hills,Kern County,1.23104,2.79372,'Substation',' ',35.77500833,-119.9737889,3.4391810687999995
238,115,Bakersfield,Kern County,1.23104,1.23843,'Substation',' ',35.42797818,-118.9764344,1.5245568671999998
239,115,Bakersfield,Kern County,0.0,0.0,'Substation',' ',35.50103906,-119.0460399,0.0
240,66,Bakersfield,Kern County,1.00593,9.03761,'Substation',' ',35.35577972,-118.9717712,9.0912030273
241,66,Dustin Acres,Kern County,0.0,0.0,'Substation',' ',35.22606664,-119.3766031,0.0
242,115,Fellows,Kern County,0.0,0.0,'Substation',' ',35.19517779,-119.5852944,0.0
243,115,Buttonwillow,Kern County,1.23104,0.0,'Substation',' ',35.39404669,-119.3214819,0.0
244,115,Bakersfield,Kern County,0.82857,0.0,'Substation',' ',35.3772676,-119.092688,0.0
245,115,Buttonwillow,Kern County,0.0,0.0,'Substation',' ',35.50111517,-119.4489669,0.0
246,66,Taft,Kern County,1.17314,8.13422,'Substation',' ',35.15360385,-119.3361848,9.5425788508
247,66,Lebec,Kern County,0.4885,0.91951,'Substation',' ',34.91833522,-118.9261907,0.449180635
248,115,Bakersfield,Kern County,0.0,0.0,'Substation',' ',35.50944487,-119.0305112,0.0
249,66,Bakersfield,Kern County,1.17314,0.0,'Substation',' ',35.09414443,-119.1011222,0.0
250,66,Bakersfield,Kern County,1.23104,0.0,'Substation',' ',35.50036603,-119.1518273,0.0
251,66,Taft,Kern County,1.17314,3.73979,'Substation',' ',35.10778002,-119.398181,4.387297240600001
252,66,Mc Farland,Kern County,1.23104,1.69887,'Substation',' ',35.68838406,-119.2768598,2.0913769248
253,66,Mc Kittrick,Kern County,1.23104,0.0,'Substation',' ',35.31982573,-119.6623248,0.0
254,115,Fellows,Kern County,0.0,15.82911,'Substation',' ',35.24241942,-119.6245472,0.0
255,66,Fellows,Kern County,1.23104,1.80775,'Substation',' ',35.2329709,-119.5803103,2.2254125599999997
256,66,Maricopa,Kern County,1.23104,0.0,'Substation',' ',35.09082503,-119.4070389,0.0
257,115,Tupman,Kern County,1.23104,0.70977,'Substation',' ',35.28599981,-119.3090374,0.8737552608
258,66,Bakersfield,Kern County,0.0,0.0,'Substation',' ',35.20843056,-119.1006862,0.0
259,66,Bakersfield,Kern County,1.00593,8.64082,'Substation',' ',35.29555607,-119.0216521,8.6920600626
260,66,Lost Hills,Kern County,1.23104,1.66278,'Substation',' ',35.517707,-119.7595381,2.0469486912
261,115,Shafter,Kern County,1.23104,2.63713,'Substation',' ',35.44202961,-119.2607154,3.2464125152
262,66,Bakersfield,Kern County,0.0,0.0,'Substation',' ',35.42982347,-118.8226315,0.0
263,115,Bakersfield,Kern County,0.82857,3.60701,'Substation',' ',35.37716309,-119.077933,2.9886602757
264,66,Arvin,Kern County,0.4885,1.07934,'Substation',' ',35.09239722,-118.8781167,0.5272575899999999
265,115,Fellows,Kern County,0.0,0.0,'Substation',' ',35.1933472,-119.5823472,0.0
266,115,Wasco,Kern County,1.23104,1.96984,'Substation',' ',35.60074571,-119.4375241,2.4249518335999998
267,115,Shafter,Kern County,1.23104,1.96127,'Substation',' ',35.51390484,-119.3178014,2.4144018207999998
